price,date
2017.265460184326,2025-03-10 00:00:00
1879.1231054991026,2025-03-11 00:00:00
1921.3099227587034,2025-03-12 00:00:00
1910.6551381032464,2025-03-13 00:00:00
1862.7949366490388,2025-03-14 00:00:00
1910.6662703455045,2025-03-15 00:00:00
1939.7856881721348,2025-03-16 00:00:00
1887.7643429692785,2025-03-17 00:00:00
1929.1833577618722,2025-03-18 00:00:00
1932.7964059050657,2025-03-19 00:00:00
2060.728601068271,2025-03-20 00:00:00
1980.831780524645,2025-03-21 00:00:00
1964.5293833168294,2025-03-22 00:00:00
1979.5449257665966,2025-03-23 00:00:00
2001.0470230951883,2025-03-24 00:00:00
2077.739325831977,2025-03-25 00:00:00
2068.598435049149,2025-03-26 00:00:00
2009.8835432902426,2025-03-27 00:00:00
2003.3034241292064,2025-03-28 00:00:00
1896.9173600459985,2025-03-29 00:00:00
1829.2745211803463,2025-03-30 00:00:00
1805.3378779435934,2025-03-31 00:00:00
1824.2071367609847,2025-04-01 00:00:00
1907.1671522994227,2025-04-02 00:00:00
1795.761850567479,2025-04-03 00:00:00
1818.2844199542053,2025-04-04 00:00:00
1814.4807753449506,2025-04-05 00:00:00
1809.935827172196,2025-04-06 00:00:00
1574.6321611455576,2025-04-07 00:00:00
1555.909812570873,2025-04-08 00:00:00
1471.3608854365523,2025-04-09 00:00:00
1662.5331604641576,2025-04-10 00:00:00
1523.928624242526,2025-04-11 00:00:00
1568.131690125936,2025-04-12 00:00:00
1645.8625733156498,2025-04-13 00:00:00
1595.4227460001084,2025-04-14 00:00:00
1621.543195596693,2025-04-15 00:00:00
1587.8222244021401,2025-04-16 00:00:00
1577.7073516760117,2025-04-17 00:00:00
1583.4764497002345,2025-04-18 00:00:00
1589.1516208270755,2025-04-19 00:00:00
1615.0502549158562,2025-04-20 00:00:00
1585.4600253443446,2025-04-21 00:00:00
1577.4465595922347,2025-04-22 00:00:00
1759.7064599311093,2025-04-23 00:00:00
1793.969849485534,2025-04-24 00:00:00
1769.3925107354407,2025-04-25 00:00:00
1788.7981804331257,2025-04-26 00:00:00
1821.2695303291391,2025-04-27 00:00:00
1793.6918440730135,2025-04-28 00:00:00
1799.50191449199,2025-04-29 00:00:00
1796.9720456768928,2025-04-30 00:00:00
1794.0495408617828,2025-05-01 00:00:00
1838.8543285925753,2025-05-02 00:00:00
1841.427590836958,2025-05-03 00:00:00
1834.501911876416,2025-05-04 00:00:00
1808.156093844096,2025-05-05 00:00:00
1820.0044598893596,2025-05-06 00:00:00
1816.1686943818438,2025-05-07 00:00:00
1810.3169269284476,2025-05-08 00:00:00
1897.0435205523895,2025-05-08 05:23:23
